지역,국가,환자 발생 수,사망
아시아,중국,"84,060","4,634"
아시아,홍콩,"2,884",23
아시아,대만,467,7
아시아,마카오,46,0
아시아,일본,"31,901","1,001"
아시아,싱가포르,"51,197",27
아시아,태국,"3,297",58
아시아,말레이시아,"8,904",124
아시아,베트남,431,0
아시아,인도,"1,483,156","33,425"
아시아,필리핀,"82,040","1,945"
아시아,캄보디아,226,0
아시아,네팔,"18,752",48
아시아,스리랑카,"2,805",11
아시아,아프가니스탄,"36,368","1,270"
아시아,파키스탄,"275,225","5,865"
아시아,인도네시아,"100,303","4,838"
아시아,부탄,99,0
아시아,몰디브,"3,369",15
아시아,방글라데시,"226,225","2,965"
아시아,브루나이,141,2
아시아,몽골,288,0
아시아,카자흐스탄,"84,648",585
아시아,우즈베키스탄,"21,506",119
아시아,키르기스스탄,"33,844","1,329"
아시아,동티모르,24,0
아시아,미얀마,350,6
아시아,라오스,20,0
아시아,타지키스탄,"7,235",60
중동,이란,"296,273","16,147"
중동,바레인,"39,482",141
중동,이집트,"92,482","4,652"
중동,이라크,"115,332","4,535"
중동,요르단,"1,182",11
중동,쿠웨이트,"65,149",442
중동,레바논,"3,882",51
중동,리비아,"2,827",64
중동,모로코,"20,887",316
중동,오만,"77,904",402
중동,카타르,"109,880",167
중동,사우디아라비아,"270,831","2,789"
중동,시리아,674,40
중동,튀니지,"1,468",50
중동,이스라엘,"66,293",486
중동,아랍에미리트,"59,546",347
중동,알제리,"27,973","1,163"
중동,예멘,"1,695",484
아메리카,미국,"4,346,748","149,180"
아메리카,캐나다,"114,994","8,912"
아메리카,멕시코,"402,697","44,876"
아메리카,파나마,"60,296","1,294"
아메리카,온두라스,"39,276","1,116"
아메리카,과테말라,"45,059","1,761"
아메리카,코스타리카,"15,229",104
아메리카,엘살바도르,"15,035",408
아메리카,벨리즈,48,2
아메리카,니카라구아,"3,004",108
아메리카,도미니카공화국,"64,156","1,083"
아메리카,쿠바,"2,532",87
아메리카,자메이카,842,10
아메리카,트리니다드토바고,148,8
아메리카,아이티,"7,315",157
아메리카,바하마,342,11
아메리카,바베이도스,110,7
아메리카,앤티가바부다,82,3
아메리카,그레나다,23,0
아메리카,세인트루시아,24,0
아메리카,세인트빈센트그레나딘,52,0
아메리카,도미니카연방,18,0
아메리카,세인트키츠네비스,17,0
아메리카,브라질,"2,483,191","88,539"
아메리카,페루,"389,717","18,418"
아메리카,에콰도르,"81,161","5,532"
아메리카,칠레,"349,800","9,240"
아메리카,콜롬비아,"248,976","8,525"
아메리카,아르헨티나,"162,526","2,956"
아메리카,볼리비아,"69,429","2,583"
아메리카,우루과이,"1,192",34
아메리카,파라과이,"4,444",41
아메리카,베네수엘라,"15,463",142
아메리카,가이아나,370,20
아메리카,수리남,"1,439",23
유럽,이탈리아,"246,488","35,123"
유럽,독일,"207,707","9,131"
유럽,프랑스,"183,804","30,223"
유럽,영국,"300,692","45,878"
유럽,스페인,"280,610","28,436"
유럽,오스트리아,"20,785",713
유럽,크로아티아,"4,881",139
유럽,핀란드,"7,398",329
유럽,스웨덴,"79,494","5,702"
유럽,스위스,"34,609","1,703"
유럽,벨기에,"66,335","9,822"
유럽,덴마크,"13,547",613
유럽,에스토니아,"2,038",69
유럽,조지아,"1,145",16
유럽,그리스,"4,227",202
