지역,국가,환자 발생 수,사망
아시아,중국,"84,428","4,634"
아시아,홍콩,"3,511",35
아시아,대만,475,7
아시아,마카오,46,0
아시아,일본,"38,687","1,012"
아시아,싱가포르,"52,825",27
아시아,태국,"3,317",58
아시아,말레이시아,"8,985",125
아시아,베트남,621,6
아시아,인도,"1,750,723","37,364"
아시아,필리핀,"98,232","2,039"
아시아,캄보디아,240,0
아시아,네팔,"20,086",56
아시아,스리랑카,"2,815",11
아시아,아프가니스탄,"36,710","1,283"
아시아,파키스탄,"279,699","5,976"
아시아,인도네시아,"109,936","5,196"
아시아,부탄,102,0
아시아,몰디브,"3,949",17
아시아,방글라데시,"239,860","3,132"
아시아,브루나이,141,2
아시아,몽골,291,0
아시아,카자흐스탄,"91,593",793
아시아,우즈베키스탄,"25,040",149
아시아,키르기스스탄,"36,719","1,409"
아시아,동티모르,24,0
아시아,미얀마,353,6
아시아,라오스,20,0
아시아,타지키스탄,"7,451",60
중동,이란,"309,437","17,190"
중동,바레인,"41,190",148
중동,이집트,"94,316","4,834"
중동,이라크,"129,151","4,868"
중동,요르단,"1,213",11
중동,쿠웨이트,"67,911",457
중동,레바논,"4,730",61
중동,리비아,"3,691",80
중동,모로코,"25,051",367
중동,오만,"79,159",421
중동,카타르,"111,107",177
중동,사우디아라비아,"278,835","2,917"
중동,시리아,780,43
중동,튀니지,"1,552",51
중동,이스라엘,"72,815",536
중동,아랍에미리트,"60,999",351
중동,알제리,"30,950","1,223"
중동,예멘,"1,734",495
아메리카,미국,"4,665,002","154,834"
아메리카,캐나다,"116,884","8,945"
아메리카,멕시코,"439,046","47,746"
아메리카,파나마,"65,256","1,421"
아메리카,온두라스,"42,014","1,337"
아메리카,과테말라,"50,979","1,957"
아메리카,코스타리카,"17,820",150
아메리카,엘살바도르,"17,050",459
아메리카,벨리즈,48,2
아메리카,니카라구아,"3,080",116
아메리카,도미니카공화국,"71,415","1,170"
아메리카,쿠바,"2,633",87
아메리카,자메이카,878,10
아메리카,트리니다드토바고,173,8
아메리카,아이티,"7,424",161
아메리카,바하마,508,14
아메리카,바베이도스,110,7
아메리카,앤티가바부다,91,3
아메리카,그레나다,24,0
아메리카,세인트루시아,25,0
아메리카,세인트빈센트그레나딘,54,0
아메리카,도미니카연방,18,0
아메리카,세인트키츠네비스,17,0
아메리카,브라질,"2,733,677","94,104"
아메리카,페루,"422,183","19,408"
아메리카,에콰도르,"86,232","5,736"
아메리카,칠레,"359,731","9,608"
아메리카,콜롬비아,"295,508","10,105"
아메리카,아르헨티나,"191,302","3,543"
아메리카,볼리비아,"76,789","2,977"
아메리카,우루과이,"1,265",35
아메리카,파라과이,"5,338",49
아메리카,베네수엘라,"18,574",164
아메리카,가이아나,413,20
아메리카,수리남,"1,706",26
유럽,이탈리아,"248,070","35,154"
유럽,독일,"211,220","9,154"
유럽,프랑스,"187,919","30,265"
유럽,영국,"304,695","46,201"
유럽,스페인,"288,522","28,445"
유럽,오스트리아,"21,309",718
유럽,크로아티아,"5,224",145
유럽,핀란드,"7,443",329
유럽,스웨덴,"80,422","5,743"
유럽,스위스,"35,550","1,707"
유럽,벨기에,"69,309","9,845"
유럽,덴마크,"13,789",615
유럽,에스토니아,"2,093",69
유럽,조지아,"1,177",17
유럽,그리스,"4,587",206
유럽,북마케도니아,"10,900",493
유럽,노르웨이,"9,208",255
유럽,루마니아,"53,186","2,413"
유럽,네덜란드,"54,732","6,148"
유럽,벨라루스,"67,946",563
유럽,리투아니아,"2,093",80
유럽,산마리노,716,42
유럽,아제르바이잔,"32,157",454
유럽,아이슬란드,"1,893",10
유럽,모나코,99,1
유럽,룩셈부르크,"6,695",114
유럽,아르메니아,"39,050",754
유럽,아일랜드,"26,162","1,763"
유럽,체코,"16,699",383
유럽,포르투갈,"51,463","1,738"
유럽,라트비아,"1,238",32
유럽,안도라,930,66
유럽,폴란드,"46,894","1,731"
유럽,우크라이나,"72,168","1,725"
유럽,헝가리,"4,526",597
유럽,보스니아 헤르체고비나,"11,875",335
유럽,슬로베니아,"2,171",117
유럽,리히텐슈타인,89,1
유럽,세르비아,"25,882",582
유럽,슬로바키아,"2,337",29
유럽,불가리아,"11,836",385
유럽,몰타,845,9
유럽,몰도바,"25,113",789
유럽,알바니아,"5,396",161
유럽,사이프러스,"1,124",19
유럽,터키,"232,856","5,728"
유럽,몬테네그로,"3,253",51
유럽,코소보,"8,511",227
유럽,러시아,"850,870","14,128"
오세아니아,호주,"17,282",200
오세아니아,뉴질랜드,"1,215",22
오세아니아,피지,27,0
오세아니아,파푸아뉴기니,91,2
아프리카,나이지리아,"43,357",883
아프리카,세네갈,"10,284",209
아프리카,카메룬,"17,255",391
아프리카,남아프리카공화국,"503,290","8,153"
아프리카,토고,927,18
아프리카,부르키나파소,"1,143",53
아프리카,DR콩고,"9,069",214
아프리카,코트디부아르,"16,109",102
아프리카,수단,"11,738",752
아프리카,에티오피아,"17,999",284
아프리카,가봉,"7,531",50
아프리카,가나,"35,501",182
아프리카,기니,"7,308",46
아프리카,케냐,"21,363",364
아프리카,나미비아,"2,224",11
아프리카,중앙아프리카공화국,"4,614",59
아프리카,콩고,"3,387",56
아프리카,적도기니,"4,821",83
아프리카,에스와티니,"2,706",42
아프리카,모리타니아,"6,310",157
아프리카,르완다,"2,042",5
아프리카,세이쉘,114,0
아프리카,베냉,"1,805",36
아프리카,라이베리아,"1,189",75
아프리카,탄자니아,509,21
아프리카,지부티,"5,126",59
아프리카,감비아,498,9
아프리카,잠비아,"6,228",165
아프리카,모리셔스,344,10
아프리카,차드,936,75
아프리카,니제르,"1,136",69
아프리카,카보베르데,"2,480",24
아프리카,짐바브웨,"3,659",69
아프리카,소말리아,"3,212",93
아프리카,마다가스카르,"11,273",107
아프리카,앙골라,"1,148",52
아프리카,에리트레아,279,0
아프리카,우간다,"1,174",4
아프리카,모잠비크,"1,907",12
아프리카,기니비사우,"1,981",27
아프리카,말리,"2,535",124
아프리카,보츠와나,804,2
아프리카,브룬디,387,1
아프리카,시에라리온,"1,835",67
아프리카,말라위,"4,186",120
아프리카,남수단,"2,429",46
아프리카,상투메프린시페,874,15
아프리카,코모로,382,7
아프리카,레소토,702,14
기타,기타지역 영토,"49,511",559
,합계,"17,923,245","686,565"
